Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence
1,1592932943637,23/06/2020 17:22:23,1592932942660,-4,23/06/2020 13:22:22,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1592932962035,23/06/2020 17:22:42,1592932961230,-4,23/06/2020 13:22:41,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,1,1,1,Instructions,advancementZone,continue_button,18462.53999999317,null,,null,,0,1,0,,,false,,,Introduction,
3,1592932962533,23/06/2020 17:22:42,1592932961716,-4,23/06/2020 13:22:41,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,1,Fixation,fixation,fixation,500.5580000000009,null,,null,,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
4,1592932962816,23/06/2020 17:22:42,1592932962016,-4,23/06/2020 13:22:42,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.3279999999977,null,,The,1,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
5,1592932963111,23/06/2020 17:22:43,1592932962316,-4,23/06/2020 13:22:42,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.28399999999965,null,, ,2,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
6,1592932963410,23/06/2020 17:22:43,1592932962616,-4,23/06/2020 13:22:42,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.3530000000028,null,,visitors,3,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
7,1592932963704,23/06/2020 17:22:43,1592932962916,-4,23/06/2020 13:22:42,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.36299999999756,null,, ,4,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
8,1592932964004,23/06/2020 17:22:44,1592932963218,-4,23/06/2020 13:22:43,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.32600000000093,null,,accepted,5,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
9,1592932964316,23/06/2020 17:22:44,1592932963517,-4,23/06/2020 13:22:43,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.35499999999956,null,, ,6,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
10,1592932964613,23/06/2020 17:22:44,1592932963818,-4,23/06/2020 13:22:43,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.2669999999998,null,,Gary's,7,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
11,1592932964910,23/06/2020 17:22:44,1592932964118,-4,23/06/2020 13:22:44,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.367000000002,null,, ,8,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
12,1592932965222,23/06/2020 17:22:45,1592932964419,-4,23/06/2020 13:22:44,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.35199999999895,null,,advice,9,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
13,1592932965566,23/06/2020 17:22:45,1592932964719,-4,23/06/2020 13:22:44,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.3169999999991,null,, ,10,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
14,1592932965845,23/06/2020 17:22:45,1592932965019,-4,23/06/2020 13:22:45,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.35499999999956,null,,about,11,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
15,1592932966142,23/06/2020 17:22:46,1592932965319,-4,23/06/2020 13:22:45,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.32900000000154,null,, ,12,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
16,1592932966425,23/06/2020 17:22:46,1592932965620,-4,23/06/2020 13:22:45,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.32700000000114,null,,the,13,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
17,1592932966720,23/06/2020 17:22:46,1592932965920,-4,23/06/2020 13:22:45,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.30799999999726,null,, ,14,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
18,1592932967017,23/06/2020 17:22:47,1592932966220,-4,23/06/2020 13:22:46,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,300.2950000000019,null,,money.,15,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
19,1592932967142,23/06/2020 17:22:47,1592932966223,-4,23/06/2020 13:22:46,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,2,RSVP,Zone1,reading,4504.9259999999995,null,,Content End,,0,1,0,,,true,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
20,1592932967803,23/06/2020 17:22:47,1592932966971,-4,23/06/2020 13:22:46,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,3,Pause,Zone1,fixation,750.8719999999994,null,,null,,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
21,1592932968913,23/06/2020 17:22:48,1592932968109,-4,23/06/2020 13:22:48,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,11,1,4,Explicit Judgment,Zone1,response_keyboard_single,1126.9350000075065,null,,4,1,0,1,0,,,false,2,2,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.
22,1592932969383,23/06/2020 17:22:49,1592932968590,-4,23/06/2020 13:22:48,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,12,2,1,Fixation,fixation,fixation,500.5099999999984,null,,null,,0,1,0,,,false,2,2,Acceptability Judgment,The| |students| |enjoyed| |Bill's| |of| |review| |the| |play.
23,1592932969690,23/06/2020 17:22:49,1592932968890,-4,23/06/2020 13:22:48,18296,8,task-mauu,,5751941,,1610595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,ReadingAcceptability,15,L2,L2,12,2,2,RSVP,Zone1,reading,300.3480000000018,null,,The,1,0,1,0,,,false,2,2,Acceptability Judgment,The| |students| |enjoyed| |Bill's| |of| |review| |the| |play.
