Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,Label,
1,1593192296787,26/06/2020 17:24:56,1593192291023,-4,26/06/2020 13:24:51,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1593192306305,26/06/2020 17:25:06,1593192300593,-4,26/06/2020 13:25:00,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,1,1,1,Instructions,advancementZone,continue_button,9536,null,,null,,0,1,0,,,false,,,Introduction,,,
3,1593192306806,26/06/2020 17:25:06,1593192301089,-4,26/06/2020 13:25:01,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,1,Fixation,fixation,fixation,500,null,,null,,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
4,1593192307091,26/06/2020 17:25:07,1593192301389,-4,26/06/2020 13:25:01,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,2,RSVP,Zone1,reading,300,null,,The,1,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
5,1593192307392,26/06/2020 17:25:07,1593192301689,-4,26/06/2020 13:25:01,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,2,RSVP,Zone1,reading,300,null,, ,2,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
6,1593192307705,26/06/2020 17:25:07,1593192301989,-4,26/06/2020 13:25:01,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,2,RSVP,Zone1,reading,300,null,,visitors,3,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
7,1593192307989,26/06/2020 17:25:07,1593192302288,-4,26/06/2020 13:25:02,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,2,RSVP,Zone1,reading,299,null,, ,4,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
8,1593192308302,26/06/2020 17:25:08,1593192302589,-4,26/06/2020 13:25:02,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,2,RSVP,Zone1,reading,301,null,,accepted,5,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
9,1593192308599,26/06/2020 17:25:08,1593192302889,-4,26/06/2020 13:25:02,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,2,RSVP,Zone1,reading,300,null,, ,6,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
10,1593192308896,26/06/2020 17:25:08,1593192303189,-4,26/06/2020 13:25:03,18296,9,task-unoq,,5796908,,1628810,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1246x814,,ReadingAcceptability,16,L3,L3,5,1,2,RSVP,Zone1,reading,300,null,,Gary's,7,0,1,0,,,false,1,1,Acceptability Judgment,The| |visitors| |accepted| |Gary's| |advice| |about| |the| |money.,C.PS.G.06,
