Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence
1,1592934360429,23/06/2020 17:46:00,1592934359539,-4,23/06/2020 13:45:59,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1592934362071,23/06/2020 17:46:02,1592934361237,-4,23/06/2020 13:46:01,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,1,1,1,Instructions,advancementZone,continue_button,1606.4499999920372,null,,null,,0,1,0,,,false,,,Introduction,
3,1592934362399,23/06/2020 17:46:02,1592934361587,-4,23/06/2020 13:46:01,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,1,Fixation,fixation,fixation,366.94500000000016,null,,null,,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
4,1592934363554,23/06/2020 17:46:03,1592934362723,-4,23/06/2020 13:46:02,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,2,ReadingPres,Zone1,reading,1134.44,null,,The,1,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
5,1592934363795,23/06/2020 17:46:03,1592934362980,-4,23/06/2020 13:46:02,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,2,ReadingPres,Zone1,reading,250.53700000000026,null,,boys,2,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
6,1592934364028,23/06/2020 17:46:04,1592934363208,-4,23/06/2020 13:46:03,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,2,ReadingPres,Zone1,reading,233.4369999999999,null,,heard,3,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
7,1592934364232,23/06/2020 17:46:04,1592934363424,-4,23/06/2020 13:46:03,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,2,ReadingPres,Zone1,reading,216.90799999999945,null,,Joe's,4,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
8,1592934364419,23/06/2020 17:46:04,1592934363592,-4,23/06/2020 13:46:03,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,2,ReadingPres,Zone1,reading,167.0550000000003,null,,about,5,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
9,1592934364592,23/06/2020 17:46:04,1592934363771,-4,23/06/2020 13:46:03,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,2,ReadingPres,Zone1,reading,166.8109999999997,null,,stories,6,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
10,1592934364796,23/06/2020 17:46:04,1592934363947,-4,23/06/2020 13:46:03,19534,4,task-ol6q,,5752201,,1610684,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,SPR,9,L3,L3,6,1,2,ReadingPres,Zone1,reading,183.57900000000063,null,,Africa.,7,0,1,0,,,false,1,1,Trial,The|boys|heard|Joe's|about|stories|Africa.
