Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-54mp,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,sentence,label,TriggerWord,Label
1,1594143546755,07/07/2020 17:39:06,1594143546608,-4,07/07/2020 13:39:06,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1594143551101,07/07/2020 17:39:11,1594143550915,-4,07/07/2020 13:39:10,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,1,1,1,Instructions,advancementZone,continue_button,4184.240000031423,null,,null,,0,1,0,,,false,,,Introduction,,,,
3,1594143551336,07/07/2020 17:39:11,1594143551264,-4,07/07/2020 13:39:11,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,1,Fixation,fixation,fixation,367.1800000000003,null,,null,,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
4,1594143551992,07/07/2020 17:39:11,1594143551915,-4,07/07/2020 13:39:11,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,650.6819999999998,null,,The,1,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
5,1594143552273,07/07/2020 17:39:12,1594143552196,-4,07/07/2020 13:39:12,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,267.0450000000001,null,,bikes,2,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
6,1594143552539,07/07/2020 17:39:12,1594143552473,-4,07/07/2020 13:39:12,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,283.5020000000004,null,,need,3,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
7,1594143552773,07/07/2020 17:39:12,1594143552706,-4,07/07/2020 13:39:12,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,233.65499999999975,null,,to,4,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
8,1594143553023,07/07/2020 17:39:13,1594143552954,-4,07/07/2020 13:39:12,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,250.39099999999962,null,,be,5,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
9,1594143553273,07/07/2020 17:39:13,1594143553200,-4,07/07/2020 13:39:13,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,250.2430000000004,null,,repaired,6,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
10,1594143554008,07/07/2020 17:39:14,1594143553930,-4,07/07/2020 13:39:13,19534,7,task-41g1,,5952547,,1675479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,,SPR,12,L2,L2,200,1,2,ReadingPres,Zone1,reading,717.4319999999998,null,,before,7,0,1,0,,,false,8,8,Trial,The|bikes|need|to|be|repaired|before|we|go|on|our|cross|country|trip.,C.SVA.G.38,3,
